Stock,Date,Opnprc,Hiprc,Loprc,Clsprc,Volume,Amount,ToverOs,OutShares,Dsmvosd,Dsmvtll,Dretwd,Dretnd,Adjprcwd,Adjprcnd,Trdsta,Ahshrtrd_D,Ahvaltrd_D,PreClosePrice,ChangeRatio,LimitDown,LimitUp,LimitStatus
2594,6/17/2022,330.1,341.2,327.07,338,26214759,8830738834,2.250649,1164764604,393690436.2,612842285,0.005952,0.005952,344.822312,337.998826,1,0,0,336,0.005952,302.4,369.6,0
2594,6/20/2022,338.08,348.66,335.02,342.18,24541557,8405361560,2.106997,1164764604,398559152.2,620421222.1,0.012367,0.012367,349.086683,342.178811,1,0,0,338,0.012367,304.2,371.8,0
2594,6/21/2022,339.76,341.8,332.2,341,19782739,6666969509,1.698432,1164764604,397184730,618281713.6,-0.003448,-0.003448,347.882865,340.998815,1,0,0,342.18,-0.003448,307.96,376.4,0
2594,6/22/2022,342.42,347.63,338,339.88,18678783,6412052153,1.603653,1164764604,395880193.6,616250993.6,-0.003284,-0.003284,346.740259,339.878819,1,0,0,341,-0.003284,306.9,375.1,0
2594,6/23/2022,344.7,354.05,338,353.5,32314226,11251775974,2.774314,1164764604,411744287.5,640945999.2,0.040073,0.040073,360.63517,353.498772,1,0,0,339.88,0.040073,305.89,373.87,0
2594,6/24/2022,352.99,356.28,346.01,351.05,23598355,8273168197,2.026019,1164764604,408890614.2,636503799.3,-0.006931,-0.006931,358.135718,351.048781,1,0,0,353.5,-0.006931,318.15,388.85,0
2594,6/27/2022,352.07,357,348.33,349.69,21715524,7630684845,1.86437,1164764604,407306534.4,634037925,-0.003874,-0.003874,356.748267,349.688786,1,0,0,351.05,-0.003874,315.95,386.16,0
2594,6/28/2022,347,358.8,342.71,352.9,26963471,9447959128,2.314929,1164764604,411045428.8,639858113.5,0.00918,0.00918,360.023059,352.898775,1,0,0,349.69,0.00918,314.72,384.66,0
2594,6/29/2022,349.99,350,331.49,331.61,36114602,12246017195,3.100592,1164764604,386247590.3,601256302.2,-0.060329,-0.060329,338.303334,331.608849,1,0,0,352.9,-0.060329,317.61,388.19,0
2594,6/30/2022,331,339.35,330,333.49,22014478,7372602921,1.890037,1164764604,388437347.8,604665010.7,0.005669,0.005669,340.221281,333.488842,1,0,0,331.61,0.005669,298.45,364.77,0
2594,7/1/2022,332.18,333,320.1,329.2,23411263,7658689348,2.009957,1164764604,383440507.6,596886627.9,-0.012864,-0.012864,335.84469,329.198857,1,0,0,333.49,-0.012864,300.14,366.84,0
2594,7/4/2022,332,338.21,330.2,336.16,20951206,7020823754,1.79875,1164764604,391547269.3,609506102.1,0.021142,0.021142,342.945173,336.158833,1,0,0,329.2,0.021142,296.28,362.12,0
2594,7/5/2022,337,340.6,329.59,333.89,17375703,5819208075,1.491778,1164764604,388903253.6,605390267.9,-0.006753,-0.006753,340.629355,333.888841,1,0,0,336.16,-0.006753,302.54,369.78,0
2594,7/6/2022,333.8,340.6,331.99,336.1,18343420,6179119713,1.574861,1164764604,391477383.4,609397313.6,0.006619,0.006619,342.883962,336.098833,1,0,0,333.89,0.006619,300.5,367.28,0
2594,7/7/2022,337.7,351.95,333.37,349.38,30464874,10511816689,2.615539,1164764604,406945457.4,633475850.7,0.039512,0.039512,356.43201,349.378787,1,0,0,336.1,0.039512,302.49,369.71,0
2594,7/8/2022,349.38,351.88,338,338,19047757,6547699048,1.635331,1164764604,393690436.2,612842285,-0.032572,-0.032572,344.822312,337.998826,1,0,0,349.38,-0.032572,314.44,384.32,0
2594,7/11/2022,335.88,335.88,318.88,324.3,25431744,8284856773,2.183423,1164764604,377733161.1,588002227.9,-0.040533,-0.040533,330.845786,324.298874,1,0,0,338,-0.040533,304.2,371.8,0
2594,7/12/2022,320,321,300.08,309,45051469,13935271931,3.86786,1164764604,359912262.6,560261142.2,-0.047179,-0.047179,315.236965,308.998927,1,0,0,324.3,-0.047179,291.87,356.73,0
2594,7/13/2022,309,313.84,296.77,309.88,34106695,10439432846,2.928205,1164764604,360937255.5,561856707.9,0.002848,0.002848,316.134727,309.878924,1,0,0,309,0.002848,278.1,339.9,0
2594,7/14/2022,308.91,323,307,323,27248936,8631732044,2.339437,1164764604,376218967.1,585645142.2,0.042339,0.042339,329.519546,322.998878,1,0,0,309.88,0.042339,278.89,340.87,0
2594,7/15/2022,335,349.89,333,338.19,44450784,15284697866,3.816289,1164764604,393911741.4,613186782.1,0.047028,0.047028,345.016146,338.188825,1,0,0,323,0.047028,290.7,355.3,0
2594,7/18/2022,345,346,328,337.1,23891156,8007559907,2.051157,1164764604,392642148,611210456.4,-0.003223,-0.003223,343.904145,337.098829,1,0,0,338.19,-0.003223,304.37,372.01,0
2594,7/19/2022,337.1,337.1,327.62,331.1,15818025,5239778187,1.358045,1164764604,385653560.4,600331599.3,-0.017799,-0.017799,337.783039,331.09885,1,0,0,337.1,-0.017799,303.39,370.81,0
2594,7/20/2022,332.98,333.86,329.08,331.7,10326348,3425066981,0.886561,1164764604,386352419.2,601419485,0.001812,0.001812,338.39515,331.698848,1,0,0,331.1,0.001812,297.99,364.21,0
2594,7/21/2022,329,331,322.94,324.5,13200328,4303073903,1.133304,1164764604,377966114,588364856.5,-0.021706,-0.021706,331.049823,324.498873,1,0,0,331.7,-0.021706,298.53,364.87,0
2594,7/22/2022,326.01,334.66,326,329.62,14177374,4687025063,1.217188,1164764604,383929708.8,597648147.9,0.015778,0.015778,336.273167,329.618855,1,0,0,324.5,0.015778,292.05,356.95,0
2594,7/25/2022,326,327,320,322.95,11501710,3705167359,0.987471,1164764604,376160728.9,585554485,-0.020235,-0.020235,329.468537,322.948878,1,0,0,329.62,-0.020235,296.66,362.58,0
2594,7/26/2022,322.48,327.68,320,325,10765616,3493834391,0.924274,1164764604,378548496.3,589271427.9,0.006348,0.006348,331.559915,324.998871,1,0,0,322.95,0.006348,290.66,355.25,0
2594,7/27/2022,324,329.8,321.01,325.8,9105572,2961812249,0.781752,1164764604,379480308,590721942.2,0.002462,0.002462,332.376062,325.798868,1,0,0,325,0.002462,292.5,357.5,0
2594,7/28/2022,329.02,331.45,324,325.43,10906517,3572559082,0.936371,1164764604,379049345.1,590051079.3,-0.001136,-0.001136,331.998594,325.428869,1,0,0,325.8,-0.001136,293.22,358.38,0
2594,7/29/2022,323,327.8,317.96,320.36,11485364,3695131506,0.986067,1164764604,373143988.5,580858445,-0.015257,-0.01558,326.933291,320.358687,1,0,0,325.33,-0.015277,292.8,357.86,0
2594,8/1/2022,317.98,332.08,316.32,330.54,18758376,6141512246,1.610486,1164764604,385001292.2,599316239.3,0.031777,0.031777,337.322169,330.538645,1,0,0,320.36,0.031777,288.32,352.4,0
2594,8/2/2022,324.9,330.48,321.3,326.6,15664266,5110091378,1.344844,1164764604,380412119.7,592172456.4,-0.01192,-0.01192,333.301326,326.598661,1,0,0,330.54,-0.01192,297.49,363.59,0
2594,8/3/2022,326.7,334.85,318.89,321.99,18872311,6197191078,1.620268,1164764604,375042554.8,583813867.9,-0.014115,-0.014115,328.596736,321.98868,1,0,0,326.6,-0.014115,293.94,359.26,0
2594,8/4/2022,328,331.47,322.1,326.8,18663677,6098858889,1.602356,1164764604,380645072.6,592535085,0.014938,0.014938,333.50543,326.79866,1,0,0,321.99,0.014938,289.79,354.19,0
2594,8/5/2022,330,331.89,318.28,324.49,15756385,5115620394,1.352753,1164764604,377954466.4,588346725,-0.007069,-0.007069,331.148032,324.488669,1,0,0,326.8,-0.007069,294.12,359.48,0
2594,8/8/2022,322.11,324.9,319,321.35,12948786,4158491944,1.111708,1164764604,374297105.5,582653456.5,-0.009677,-0.009677,327.943604,321.348682,1,0,0,324.49,-0.009677,292.04,356.94,0
2594,8/9/2022,321.18,323.8,318.15,319.72,11610661,3719885520,0.996825,1164764604,372398539.2,579698033.6,-0.005072,-0.005072,326.280159,319.718689,1,0,0,321.35,-0.005072,289.22,353.49,0
2594,8/10/2022,319.7,319.7,305,308.35,25849901,7998810821,2.219324,1164764604,359155165.6,559082599.3,-0.035562,-0.035562,314.676864,308.348736,1,0,0,319.72,-0.035562,287.75,351.69,0
2594,8/11/2022,311.43,315.89,305.6,315.02,16544481,5159742999,1.420414,1164764604,366924145.6,571176262.2,0.021631,0.021631,321.483722,315.018709,1,0,0,308.35,0.021631,277.52,339.19,0
2594,8/12/2022,315.02,316.28,310,311.93,10133763,3165436406,0.870027,1164764604,363325022.9,565573650.8,-0.009809,-0.009809,318.33032,311.928722,1,0,0,315.02,-0.009809,283.52,346.52,0
2594,8/15/2022,312.2,319.23,311.22,315.21,13511926,4265356112,1.160056,1164764604,367145450.8,571520759.3,0.010515,0.010515,321.677621,315.208709,1,0,0,311.93,0.010515,280.74,343.12,0
2594,8/16/2022,315.8,321.89,315.5,318.92,15724331,5029761317,1.350001,1164764604,371466727.5,578247519.3,0.01177,0.01177,325.463744,318.918694,1,0,0,315.21,0.01177,283.69,346.73,0
2594,8/17/2022,319.99,329.6,316.72,327.93,21087113,6808620194,1.810418,1164764604,381961256.6,594583936.4,0.028252,0.028252,334.658615,327.928657,1,0,0,318.92,0.028252,287.03,350.81,0
2594,8/18/2022,327,330,323.84,326.04,14279044,4659424799,1.225917,1164764604,379759851.5,591157096.4,-0.005763,-0.005763,332.729835,326.038665,1,0,0,327.93,-0.005763,295.14,360.72,0
2594,8/19/2022,325.03,327.44,317,319.39,12428923,3993178340,1.067076,1164764604,372014166.9,579099696.5,-0.020396,-0.020396,325.943387,319.388692,1,0,0,326.04,-0.020396,293.44,358.64,0
2594,8/22/2022,316,326.09,312.22,323.09,14766765,4747212897,1.26779,1164764604,376323795.9,585808325,0.011585,0.011585,329.719305,323.088677,1,0,0,319.39,0.011585,287.45,351.33,0
2594,8/23/2022,324,325.55,318.98,321.61,9299975,2989844195,0.798442,1164764604,374599944.3,583124873.6,-0.004581,-0.004581,328.208938,321.608683,1,0,0,323.09,-0.004581,290.78,355.4,0
2594,8/24/2022,321.68,322.96,309.3,309.5,18678283,5854016197,1.60361,1164764604,360494644.9,561167713.6,-0.037654,-0.037654,315.85046,309.498733,1,0,0,321.61,-0.037654,289.45,353.77,0
2594,8/25/2022,309.56,311.08,302.66,309.58,14022073,4308297637,1.203855,1164764604,360587826.1,561312765.1,0.000258,0.000258,315.932101,309.578733,1,0,0,309.5,0.000258,278.55,340.45,0
2594,8/26/2022,312.99,317.93,310,315.73,12212655,3849213721,1.048508,1164764604,367751128.4,572463593.6,0.019866,0.019866,322.208289,315.728708,1,0,0,309.58,0.019866,278.62,340.54,0
2594,8/29/2022,313.67,316.87,311.49,313.55,8591166,2696123151,0.737588,1164764604,365211941.6,568510942.2,-0.006905,-0.006905,319.983559,313.548717,1,0,0,315.73,-0.006905,284.16,347.3,0
2594,8/30/2022,315.5,318.5,310,310.85,11024737,3454778560,0.946521,1164764604,362067077.2,563615456.5,-0.008611,-0.008611,317.228159,310.848728,1,0,0,313.55,-0.008611,282.2,344.91,0
2594,8/31/2022,291,296.6,284,287.98,40805974,11841919126,3.503367,1164764604,335428910.7,522148879.4,-0.073572,-0.073572,293.888902,287.978822,1,0,0,310.85,-0.073572,279.77,341.94,0
2594,9/1/2022,285,294.6,284.03,286.7,19258233,5566420145,1.653401,1164764604,333938012,519828056.5,-0.004445,-0.004445,292.582638,286.698827,1,0,0,287.98,-0.004445,259.18,316.78,0
2594,9/2/2022,288.7,289.6,278.1,282,16166192,4561284362,1.387936,1164764604,328463618.3,511306285.1,-0.016393,-0.016393,287.786201,281.998846,1,0,0,286.7,-0.016393,258.03,315.37,0
2594,9/5/2022,269,270.88,261.1,268.76,35120827,9364600412,3.015273,1164764604,313042135,487300273.7,-0.04695,-0.04695,274.274537,268.7589,1,0,0,282,-0.04695,253.8,310.2,0
2594,9/6/2022,268.77,274.45,267.21,272.94,18990284,5154529158,1.630397,1164764604,317910851,494879210.8,0.015553,0.015553,278.540304,272.938883,1,0,0,268.76,0.015553,241.88,295.64,0
2594,9/7/2022,272,285.05,270.6,282.7,19087317,5345727757,1.638727,1164764604,329278953.6,512575485.1,0.035759,0.035759,288.500564,282.698843,1,0,0,272.94,0.035759,245.65,300.23,0
2594,9/8/2022,283,284.99,277,278.26,11642911,3267426059,0.999593,1164764604,324107398.7,504525130.8,-0.015706,-0.015706,283.969462,278.258861,1,0,0,282.7,-0.015706,254.43,310.97,0
2594,9/9/2022,280.99,281.49,276.99,279.7,7609826,2125233636,0.653336,1164764604,325784659.7,507136056.5,0.005175,0.005175,285.439009,279.698855,1,0,0,278.26,0.005175,250.43,306.09,0
2594,9/13/2022,282,286.69,279.37,284.8,11152411,3162351107,0.957482,1164764604,331724959.2,516383085.1,0.018234,0.018234,290.643653,284.798834,1,0,0,279.7,0.018234,251.73,307.67,0
2594,9/14/2022,282,283.8,276.26,278.33,10515106,2935617133,0.902767,1164764604,324188932.2,504652050.8,-0.022718,-0.022718,284.040899,278.32886,1,0,0,284.8,-0.022718,256.32,313.28,0
2594,9/15/2022,280,280.5,266.91,269.5,15239523,4126260385,1.308378,1164764604,313904060.8,488641999.4,-0.031725,-0.031725,275.029721,269.498896,1,0,0,278.33,-0.031725,250.5,306.16,0
